Task,Dataset,Dataset_number,Representation,Representer,Precision,Classifier,MCC
ionchannels_membraneproteins,balanced,7,finetuned,ESM-1b,full,SVM,0.85±0.02
ionchannels_membraneproteins,balanced,7,finetuned,ESM-1b,full,RF,0.78±0.05
ionchannels_membraneproteins,balanced,7,finetuned,ESM-1b,full,kNN,0.66±0.05
ionchannels_membraneproteins,balanced,7,finetuned,ESM-1b,full,LR,0.81±0.02
ionchannels_membraneproteins,balanced,7,finetuned,ESM-1b,full,FFNN,0.82±0.03
ionchannels_membraneproteins,balanced,8,frozen,ESM-2_15B,half,SVM,0.86±0.06
ionchannels_membraneproteins,balanced,8,frozen,ESM-2_15B,half,RF,0.82±0.04
ionchannels_membraneproteins,balanced,8,frozen,ESM-2_15B,half,kNN,0.48±0.03
ionchannels_membraneproteins,balanced,8,frozen,ESM-2_15B,half,LR,0.87±0.05
ionchannels_membraneproteins,balanced,8,frozen,ESM-2_15B,half,FFNN,0.88±0.05
ionchannels_membraneproteins,balanced,6,finetuned,ESM-2,full,SVM,0.83±0.01
ionchannels_membraneproteins,balanced,6,finetuned,ESM-2,full,RF,0.77±0.05
ionchannels_membraneproteins,balanced,6,finetuned,ESM-2,full,kNN,0.63±0.05
ionchannels_membraneproteins,balanced,6,finetuned,ESM-2,full,LR,0.83±0.03
ionchannels_membraneproteins,balanced,6,finetuned,ESM-2,full,FFNN,0.86±0.03
ionchannels_membraneproteins,balanced,6,frozen,ProtT5,half,SVM,0.85±0.02
ionchannels_membraneproteins,balanced,6,frozen,ProtT5,half,RF,0.78±0.05
ionchannels_membraneproteins,balanced,6,frozen,ProtT5,half,kNN,0.67±0.03
ionchannels_membraneproteins,balanced,6,frozen,ProtT5,half,LR,0.81±0.03
ionchannels_membraneproteins,balanced,6,frozen,ProtT5,half,FFNN,0.82±0.03
ionchannels_membraneproteins,balanced,10,frozen,ProtBERT,half,SVM,0.75±0.09
ionchannels_membraneproteins,balanced,10,frozen,ProtBERT,half,RF,0.71±0.06
ionchannels_membraneproteins,balanced,10,frozen,ProtBERT,half,kNN,0.49±0.10
ionchannels_membraneproteins,balanced,10,frozen,ProtBERT,half,LR,0.73±0.08
ionchannels_membraneproteins,balanced,10,frozen,ProtBERT,half,FFNN,0.74±0.06
ionchannels_membraneproteins,balanced,2,frozen,ProtBERT-BFD,half,SVM,0.77±0.02
ionchannels_membraneproteins,balanced,2,frozen,ProtBERT-BFD,half,RF,0.73±0.06
ionchannels_membraneproteins,balanced,2,frozen,ProtBERT-BFD,half,kNN,0.60±0.06
ionchannels_membraneproteins,balanced,2,frozen,ProtBERT-BFD,half,LR,0.69±0.10
ionchannels_membraneproteins,balanced,2,frozen,ProtBERT-BFD,half,FFNN,0.74±0.07
iontransporters_membraneproteins,imbalanced,na,frozen,ESM-2_15B,half,SVM,0.78±0.03
iontransporters_membraneproteins,imbalanced,na,frozen,ESM-2_15B,half,RF,0.27±0.03
iontransporters_membraneproteins,imbalanced,na,frozen,ESM-2_15B,half,kNN,0.66±0.06
iontransporters_membraneproteins,imbalanced,na,frozen,ESM-2_15B,half,LR,0.80±0.03
iontransporters_membraneproteins,imbalanced,na,frozen,ESM-2_15B,half,FFNN,0.79±0.02
ionchannels_membraneproteins,balanced,1,finetuned,ProtBERT-BFD,full,SVM,0.78±0.01
ionchannels_membraneproteins,balanced,1,finetuned,ProtBERT-BFD,full,RF,0.73±0.03
ionchannels_membraneproteins,balanced,1,finetuned,ProtBERT-BFD,full,kNN,0.64±0.04
ionchannels_membraneproteins,balanced,1,finetuned,ProtBERT-BFD,full,LR,0.75±0.05
ionchannels_membraneproteins,balanced,1,finetuned,ProtBERT-BFD,full,FFNN,0.78±0.04
ionchannels_membraneproteins,balanced,3,finetuned,ESM-2,half,SVM,0.84±0.04
ionchannels_membraneproteins,balanced,3,finetuned,ESM-2,half,RF,0.77±0.03
ionchannels_membraneproteins,balanced,3,finetuned,ESM-2,half,kNN,0.59±0.05
ionchannels_membraneproteins,balanced,3,finetuned,ESM-2,half,LR,0.82±0.05
ionchannels_membraneproteins,balanced,3,finetuned,ESM-2,half,FFNN,0.82±0.06
ionchannels_membraneproteins,balanced,1,frozen,ProtBERT,full,SVM,0.78±0.04
ionchannels_membraneproteins,balanced,1,frozen,ProtBERT,full,RF,0.75±0.08
ionchannels_membraneproteins,balanced,1,frozen,ProtBERT,full,kNN,0.46±0.09
ionchannels_membraneproteins,balanced,1,frozen,ProtBERT,full,LR,0.78±0.05
ionchannels_membraneproteins,balanced,1,frozen,ProtBERT,full,FFNN,0.79±0.05
iontransporters_membraneproteins,balanced,6,frozen,ESM-1b,full,SVM,0.83±0.04
iontransporters_membraneproteins,balanced,6,frozen,ESM-1b,full,RF,0.74±0.05
iontransporters_membraneproteins,balanced,6,frozen,ESM-1b,full,kNN,0.66±0.04
iontransporters_membraneproteins,balanced,6,frozen,ESM-1b,full,LR,0.80±0.05
iontransporters_membraneproteins,balanced,6,frozen,ESM-1b,full,FFNN,0.81±0.05
ionchannels_iontransporters,na,na,finetuned,ProtBERT-BFD,full,SVM,0.81±0.05
ionchannels_iontransporters,na,na,finetuned,ProtBERT-BFD,full,RF,0.76±0.05
ionchannels_iontransporters,na,na,finetuned,ProtBERT-BFD,full,kNN,0.71±0.04
ionchannels_iontransporters,na,na,finetuned,ProtBERT-BFD,full,LR,0.76±0.04
ionchannels_iontransporters,na,na,finetuned,ProtBERT-BFD,full,FFNN,0.81±0.05
iontransporters_membraneproteins,balanced,8,finetuned,ProtBERT-BFD,full,SVM,0.71±0.10
iontransporters_membraneproteins,balanced,8,finetuned,ProtBERT-BFD,full,RF,0.63±0.11
iontransporters_membraneproteins,balanced,8,finetuned,ProtBERT-BFD,full,kNN,0.61±0.06
iontransporters_membraneproteins,balanced,8,finetuned,ProtBERT-BFD,full,LR,0.73±0.10
iontransporters_membraneproteins,balanced,8,finetuned,ProtBERT-BFD,full,FFNN,0.70±0.09
ionchannels_membraneproteins,balanced,6,frozen,ESM-2,half,SVM,0.84±0.02
ionchannels_membraneproteins,balanced,6,frozen,ESM-2,half,RF,0.77±0.04
ionchannels_membraneproteins,balanced,6,frozen,ESM-2,half,kNN,0.64±0.06
ionchannels_membraneproteins,balanced,6,frozen,ESM-2,half,LR,0.84±0.03
ionchannels_membraneproteins,balanced,6,frozen,ESM-2,half,FFNN,0.86±0.04
ionchannels_membraneproteins,balanced,6,finetuned,ProtBERT-BFD,half,SVM,0.78±0.04
ionchannels_membraneproteins,balanced,6,finetuned,ProtBERT-BFD,half,RF,0.74±0.02
ionchannels_membraneproteins,balanced,6,finetuned,ProtBERT-BFD,half,kNN,0.56±0.05
ionchannels_membraneproteins,balanced,6,finetuned,ProtBERT-BFD,half,LR,0.76±0.07
ionchannels_membraneproteins,balanced,6,finetuned,ProtBERT-BFD,half,FFNN,0.75±0.05
ionchannels_membraneproteins,balanced,1,frozen,ProtBERT-BFD,full,SVM,0.78±0.04
ionchannels_membraneproteins,balanced,1,frozen,ProtBERT-BFD,full,RF,0.73±0.05
ionchannels_membraneproteins,balanced,1,frozen,ProtBERT-BFD,full,kNN,0.63±0.05
ionchannels_membraneproteins,balanced,1,frozen,ProtBERT-BFD,full,LR,0.75±0.06
ionchannels_membraneproteins,balanced,1,frozen,ProtBERT-BFD,full,FFNN,0.76±0.05
ionchannels_membraneproteins,balanced,2,finetuned,ESM-2,full,SVM,0.86±0.04
ionchannels_membraneproteins,balanced,2,finetuned,ESM-2,full,RF,0.75±0.07
ionchannels_membraneproteins,balanced,2,finetuned,ESM-2,full,kNN,0.64±0.05
ionchannels_membraneproteins,balanced,2,finetuned,ESM-2,full,LR,0.83±0.05
ionchannels_membraneproteins,balanced,2,finetuned,ESM-2,full,FFNN,0.84±0.04
ionchannels_membraneproteins,balanced,4,frozen,ESM-1b,full,SVM,0.86±0.03
ionchannels_membraneproteins,balanced,4,frozen,ESM-1b,full,RF,0.77±0.05
ionchannels_membraneproteins,balanced,4,frozen,ESM-1b,full,kNN,0.67±0.07
ionchannels_membraneproteins,balanced,4,frozen,ESM-1b,full,LR,0.85±0.03
ionchannels_membraneproteins,balanced,4,frozen,ESM-1b,full,FFNN,0.85±0.02
iontransporters_membraneproteins,imbalanced,na,frozen,ProtBERT,half,SVM,0.72±0.04
iontransporters_membraneproteins,imbalanced,na,frozen,ProtBERT,half,RF,0.23±0.05
iontransporters_membraneproteins,imbalanced,na,frozen,ProtBERT,half,kNN,0.52±0.05
iontransporters_membraneproteins,imbalanced,na,frozen,ProtBERT,half,LR,0.68±0.03
iontransporters_membraneproteins,imbalanced,na,frozen,ProtBERT,half,FFNN,0.71±0.03
iontransporters_membraneproteins,balanced,1,frozen,ESM-2,half,SVM,0.81±0.05
iontransporters_membraneproteins,balanced,1,frozen,ESM-2,half,RF,0.75±0.05
iontransporters_membraneproteins,balanced,1,frozen,ESM-2,half,kNN,0.61±0.06
iontransporters_membraneproteins,balanced,1,frozen,ESM-2,half,LR,0.82±0.03
iontransporters_membraneproteins,balanced,1,frozen,ESM-2,half,FFNN,0.83±0.04
iontransporters_membraneproteins,imbalanced,na,finetuned,ProtBERT,half,SVM,0.87±0.03
iontransporters_membraneproteins,imbalanced,na,finetuned,ProtBERT,half,RF,0.76±0.02
iontransporters_membraneproteins,imbalanced,na,finetuned,ProtBERT,half,kNN,0.81±0.04
iontransporters_membraneproteins,imbalanced,na,finetuned,ProtBERT,half,LR,0.87±0.04
iontransporters_membraneproteins,imbalanced,na,finetuned,ProtBERT,half,FFNN,0.87±0.03
ionchannels_membraneproteins,balanced,2,finetuned,ESM-2,half,SVM,0.86±0.04
ionchannels_membraneproteins,balanced,2,finetuned,ESM-2,half,RF,0.76±0.08
ionchannels_membraneproteins,balanced,2,finetuned,ESM-2,half,kNN,0.64±0.05
ionchannels_membraneproteins,balanced,2,finetuned,ESM-2,half,LR,0.83±0.04
ionchannels_membraneproteins,balanced,2,finetuned,ESM-2,half,FFNN,0.84±0.04
ionchannels_membraneproteins,balanced,5,frozen,ProtBERT,full,SVM,0.76±0.06
ionchannels_membraneproteins,balanced,5,frozen,ProtBERT,full,RF,0.75±0.06
ionchannels_membraneproteins,balanced,5,frozen,ProtBERT,full,kNN,0.48±0.09
ionchannels_membraneproteins,balanced,5,frozen,ProtBERT,full,LR,0.75±0.06
ionchannels_membraneproteins,balanced,5,frozen,ProtBERT,full,FFNN,0.75±0.04
ionchannels_membraneproteins,balanced,5,finetuned,ProtBERT,full,SVM,0.75±0.07
ionchannels_membraneproteins,balanced,5,finetuned,ProtBERT,full,RF,0.73±0.07
ionchannels_membraneproteins,balanced,5,finetuned,ProtBERT,full,kNN,0.54±0.12
ionchannels_membraneproteins,balanced,5,finetuned,ProtBERT,full,LR,0.75±0.04
ionchannels_membraneproteins,balanced,5,finetuned,ProtBERT,full,FFNN,0.76±0.03
iontransporters_membraneproteins,balanced,5,frozen,ESM-2,full,SVM,0.81±0.06
iontransporters_membraneproteins,balanced,5,frozen,ESM-2,full,RF,0.71±0.05
iontransporters_membraneproteins,balanced,5,frozen,ESM-2,full,kNN,0.66±0.09
iontransporters_membraneproteins,balanced,5,frozen,ESM-2,full,LR,0.79±0.03
iontransporters_membraneproteins,balanced,5,frozen,ESM-2,full,FFNN,0.82±0.07
iontransporters_membraneproteins,balanced,6,finetuned,ESM-2,full,SVM,0.77±0.04
iontransporters_membraneproteins,balanced,6,finetuned,ESM-2,full,RF,0.71±0.06
iontransporters_membraneproteins,balanced,6,finetuned,ESM-2,full,kNN,0.62±0.07
iontransporters_membraneproteins,balanced,6,finetuned,ESM-2,full,LR,0.78±0.03
iontransporters_membraneproteins,balanced,6,finetuned,ESM-2,full,FFNN,0.77±0.06
iontransporters_membraneproteins,balanced,5,frozen,ESM-1b,full,SVM,0.83±0.06
iontransporters_membraneproteins,balanced,5,frozen,ESM-1b,full,RF,0.75±0.06
iontransporters_membraneproteins,balanced,5,frozen,ESM-1b,full,kNN,0.69±0.07
iontransporters_membraneproteins,balanced,5,frozen,ESM-1b,full,LR,0.82±0.06
iontransporters_membraneproteins,balanced,5,frozen,ESM-1b,full,FFNN,0.81±0.06
iontransporters_membraneproteins,balanced,8,frozen,ESM-1b,half,SVM,0.82±0.06
iontransporters_membraneproteins,balanced,8,frozen,ESM-1b,half,RF,0.72±0.03
iontransporters_membraneproteins,balanced,8,frozen,ESM-1b,half,kNN,0.67±0.04
iontransporters_membraneproteins,balanced,8,frozen,ESM-1b,half,LR,0.78±0.07
iontransporters_membraneproteins,balanced,8,frozen,ESM-1b,half,FFNN,0.80±0.07
iontransporters_membraneproteins,balanced,6,finetuned,ESM-2,half,SVM,0.77±0.05
iontransporters_membraneproteins,balanced,6,finetuned,ESM-2,half,RF,0.72±0.03
iontransporters_membraneproteins,balanced,6,finetuned,ESM-2,half,kNN,0.61±0.07
iontransporters_membraneproteins,balanced,6,finetuned,ESM-2,half,LR,0.78±0.03
iontransporters_membraneproteins,balanced,6,finetuned,ESM-2,half,FFNN,0.77±0.07
ionchannels_membraneproteins,balanced,2,frozen,ProtT5,half,SVM,0.84±0.05
ionchannels_membraneproteins,balanced,2,frozen,ProtT5,half,RF,0.78±0.02
ionchannels_membraneproteins,balanced,2,frozen,ProtT5,half,kNN,0.64±0.04
ionchannels_membraneproteins,balanced,2,frozen,ProtT5,half,LR,0.82±0.03
ionchannels_membraneproteins,balanced,2,frozen,ProtT5,half,FFNN,0.83±0.02
iontransporters_membraneproteins,balanced,7,frozen,ProtBERT-BFD,half,SVM,0.73±0.03
iontransporters_membraneproteins,balanced,7,frozen,ProtBERT-BFD,half,RF,0.64±0.08
iontransporters_membraneproteins,balanced,7,frozen,ProtBERT-BFD,half,kNN,0.59±0.05
iontransporters_membraneproteins,balanced,7,frozen,ProtBERT-BFD,half,LR,0.73±0.04
iontransporters_membraneproteins,balanced,7,frozen,ProtBERT-BFD,half,FFNN,0.74±0.03
ionchannels_membraneproteins,balanced,10,frozen,ESM-2,half,SVM,0.85±0.03
ionchannels_membraneproteins,balanced,10,frozen,ESM-2,half,RF,0.74±0.04
ionchannels_membraneproteins,balanced,10,frozen,ESM-2,half,kNN,0.66±0.04
ionchannels_membraneproteins,balanced,10,frozen,ESM-2,half,LR,0.82±0.02
ionchannels_membraneproteins,balanced,10,frozen,ESM-2,half,FFNN,0.83±0.01
ionchannels_membraneproteins,balanced,4,frozen,ESM-1b,half,SVM,0.86±0.03
ionchannels_membraneproteins,balanced,4,frozen,ESM-1b,half,RF,0.78±0.05
ionchannels_membraneproteins,balanced,4,frozen,ESM-1b,half,kNN,0.67±0.07
ionchannels_membraneproteins,balanced,4,frozen,ESM-1b,half,LR,0.85±0.04
ionchannels_membraneproteins,balanced,4,frozen,ESM-1b,half,FFNN,0.85±0.02
ionchannels_membraneproteins,balanced,8,finetuned,ESM-1b,full,SVM,0.86±0.04
ionchannels_membraneproteins,balanced,8,finetuned,ESM-1b,full,RF,0.77±0.05
ionchannels_membraneproteins,balanced,8,finetuned,ESM-1b,full,kNN,0.66±0.06
ionchannels_membraneproteins,balanced,8,finetuned,ESM-1b,full,LR,0.83±0.04
ionchannels_membraneproteins,balanced,8,finetuned,ESM-1b,full,FFNN,0.82±0.04
iontransporters_membraneproteins,balanced,9,finetuned,ESM-1b,half,SVM,0.80±0.05
iontransporters_membraneproteins,balanced,9,finetuned,ESM-1b,half,RF,0.74±0.09
iontransporters_membraneproteins,balanced,9,finetuned,ESM-1b,half,kNN,0.70±0.09
iontransporters_membraneproteins,balanced,9,finetuned,ESM-1b,half,LR,0.78±0.07
iontransporters_membraneproteins,balanced,9,finetuned,ESM-1b,half,FFNN,0.78±0.08
iontransporters_membraneproteins,balanced,1,frozen,ProtBERT,full,SVM,0.75±0.04
iontransporters_membraneproteins,balanced,1,frozen,ProtBERT,full,RF,0.66±0.07
iontransporters_membraneproteins,balanced,1,frozen,ProtBERT,full,kNN,0.53±0.07
iontransporters_membraneproteins,balanced,1,frozen,ProtBERT,full,LR,0.76±0.03
iontransporters_membraneproteins,balanced,1,frozen,ProtBERT,full,FFNN,0.78±0.04
ionchannels_membraneproteins,balanced,1,finetuned,ProtBERT-BFD,half,SVM,0.78±0.04
ionchannels_membraneproteins,balanced,1,finetuned,ProtBERT-BFD,half,RF,0.72±0.06
ionchannels_membraneproteins,balanced,1,finetuned,ProtBERT-BFD,half,kNN,0.64±0.04
ionchannels_membraneproteins,balanced,1,finetuned,ProtBERT-BFD,half,LR,0.76±0.06
ionchannels_membraneproteins,balanced,1,finetuned,ProtBERT-BFD,half,FFNN,0.78±0.04
ionchannels_membraneproteins,balanced,4,finetuned,ESM-2,half,SVM,0.86±0.03
ionchannels_membraneproteins,balanced,4,finetuned,ESM-2,half,RF,0.79±0.05
ionchannels_membraneproteins,balanced,4,finetuned,ESM-2,half,kNN,0.63±0.05
ionchannels_membraneproteins,balanced,4,finetuned,ESM-2,half,LR,0.86±0.01
ionchannels_membraneproteins,balanced,4,finetuned,ESM-2,half,FFNN,0.87±0.02
iontransporters_membraneproteins,balanced,5,finetuned,ProtBERT-BFD,full,SVM,0.75±0.06
iontransporters_membraneproteins,balanced,5,finetuned,ProtBERT-BFD,full,RF,0.70±0.07
iontransporters_membraneproteins,balanced,5,finetuned,ProtBERT-BFD,full,kNN,0.60±0.05
iontransporters_membraneproteins,balanced,5,finetuned,ProtBERT-BFD,full,LR,0.75±0.06
iontransporters_membraneproteins,balanced,5,finetuned,ProtBERT-BFD,full,FFNN,0.75±0.04
iontransporters_membraneproteins,balanced,5,frozen,ESM-2,half,SVM,0.81±0.06
iontransporters_membraneproteins,balanced,5,frozen,ESM-2,half,RF,0.72±0.05
iontransporters_membraneproteins,balanced,5,frozen,ESM-2,half,kNN,0.65±0.10
iontransporters_membraneproteins,balanced,5,frozen,ESM-2,half,LR,0.79±0.03
iontransporters_membraneproteins,balanced,5,frozen,ESM-2,half,FFNN,0.82±0.07
iontransporters_membraneproteins,balanced,2,finetuned,ESM-2,full,SVM,0.79±0.03
iontransporters_membraneproteins,balanced,2,finetuned,ESM-2,full,RF,0.72±0.04
iontransporters_membraneproteins,balanced,2,finetuned,ESM-2,full,kNN,0.61±0.04
iontransporters_membraneproteins,balanced,2,finetuned,ESM-2,full,LR,0.78±0.01
iontransporters_membraneproteins,balanced,2,finetuned,ESM-2,full,FFNN,0.80±0.02
iontransporters_membraneproteins,balanced,10,frozen,ESM-1b,half,SVM,0.81±0.03
iontransporters_membraneproteins,balanced,10,frozen,ESM-1b,half,RF,0.75±0.04
iontransporters_membraneproteins,balanced,10,frozen,ESM-1b,half,kNN,0.70±0.03
iontransporters_membraneproteins,balanced,10,frozen,ESM-1b,half,LR,0.81±0.03
iontransporters_membraneproteins,balanced,10,frozen,ESM-1b,half,FFNN,0.81±0.03
iontransporters_membraneproteins,balanced,7,finetuned,ESM-2,half,SVM,0.82±0.05
iontransporters_membraneproteins,balanced,7,finetuned,ESM-2,half,RF,0.71±0.04
iontransporters_membraneproteins,balanced,7,finetuned,ESM-2,half,kNN,0.63±0.04
iontransporters_membraneproteins,balanced,7,finetuned,ESM-2,half,LR,0.83±0.04
iontransporters_membraneproteins,balanced,7,finetuned,ESM-2,half,FFNN,0.83±0.05
iontransporters_membraneproteins,balanced,7,finetuned,ProtBERT-BFD,half,SVM,0.74±0.05
iontransporters_membraneproteins,balanced,7,finetuned,ProtBERT-BFD,half,RF,0.65±0.08
iontransporters_membraneproteins,balanced,7,finetuned,ProtBERT-BFD,half,kNN,0.61±0.05
iontransporters_membraneproteins,balanced,7,finetuned,ProtBERT-BFD,half,LR,0.72±0.04
iontransporters_membraneproteins,balanced,7,finetuned,ProtBERT-BFD,half,FFNN,0.75±0.04
ionchannels_membraneproteins,balanced,10,finetuned,ProtBERT,full,SVM,0.76±0.10
ionchannels_membraneproteins,balanced,10,finetuned,ProtBERT,full,RF,0.70±0.05
ionchannels_membraneproteins,balanced,10,finetuned,ProtBERT,full,kNN,0.49±0.08
ionchannels_membraneproteins,balanced,10,finetuned,ProtBERT,full,LR,0.75±0.06
ionchannels_membraneproteins,balanced,10,finetuned,ProtBERT,full,FFNN,0.75±0.05
iontransporters_membraneproteins,balanced,5,frozen,ProtBERT,full,SVM,0.72±0.08
iontransporters_membraneproteins,balanced,5,frozen,ProtBERT,full,RF,0.65±0.09
iontransporters_membraneproteins,balanced,5,frozen,ProtBERT,full,kNN,0.58±0.07
iontransporters_membraneproteins,balanced,5,frozen,ProtBERT,full,LR,0.76±0.06
iontransporters_membraneproteins,balanced,5,frozen,ProtBERT,full,FFNN,0.73±0.06
ionchannels_membraneproteins,balanced,2,frozen,ESM-2,half,SVM,0.86±0.04
ionchannels_membraneproteins,balanced,2,frozen,ESM-2,half,RF,0.75±0.08
ionchannels_membraneproteins,balanced,2,frozen,ESM-2,half,kNN,0.65±0.06
ionchannels_membraneproteins,balanced,2,frozen,ESM-2,half,LR,0.83±0.06
ionchannels_membraneproteins,balanced,2,frozen,ESM-2,half,FFNN,0.85±0.03
ionchannels_membraneproteins,balanced,10,finetuned,ESM-1b,half,SVM,0.84±0.03
ionchannels_membraneproteins,balanced,10,finetuned,ESM-1b,half,RF,0.75±0.04
ionchannels_membraneproteins,balanced,10,finetuned,ESM-1b,half,kNN,0.67±0.06
ionchannels_membraneproteins,balanced,10,finetuned,ESM-1b,half,LR,0.83±0.03
ionchannels_membraneproteins,balanced,10,finetuned,ESM-1b,half,FFNN,0.83±0.05
ionchannels_membraneproteins,balanced,7,frozen,ESM-1b,full,SVM,0.85±0.03
ionchannels_membraneproteins,balanced,7,frozen,ESM-1b,full,RF,0.79±0.04
ionchannels_membraneproteins,balanced,7,frozen,ESM-1b,full,kNN,0.65±0.04
ionchannels_membraneproteins,balanced,7,frozen,ESM-1b,full,LR,0.82±0.04
ionchannels_membraneproteins,balanced,7,frozen,ESM-1b,full,FFNN,0.82±0.03
iontransporters_membraneproteins,balanced,8,frozen,ProtBERT-BFD,half,SVM,0.70±0.09
iontransporters_membraneproteins,balanced,8,frozen,ProtBERT-BFD,half,RF,0.64±0.10
iontransporters_membraneproteins,balanced,8,frozen,ProtBERT-BFD,half,kNN,0.60±0.07
iontransporters_membraneproteins,balanced,8,frozen,ProtBERT-BFD,half,LR,0.72±0.11
iontransporters_membraneproteins,balanced,8,frozen,ProtBERT-BFD,half,FFNN,0.71±0.09
ionchannels_membraneproteins,imbalanced,na,frozen,ProtT5,half,SVM,0.86±0.03
ionchannels_membraneproteins,imbalanced,na,frozen,ProtT5,half,RF,0.54±0.07
ionchannels_membraneproteins,imbalanced,na,frozen,ProtT5,half,kNN,0.76±0.06
ionchannels_membraneproteins,imbalanced,na,frozen,ProtT5,half,LR,0.82±0.04
ionchannels_membraneproteins,imbalanced,na,frozen,ProtT5,half,FFNN,0.84±0.03
ionchannels_membraneproteins,balanced,5,finetuned,ESM-2,half,SVM,0.88±0.04
ionchannels_membraneproteins,balanced,5,finetuned,ESM-2,half,RF,0.75±0.07
ionchannels_membraneproteins,balanced,5,finetuned,ESM-2,half,kNN,0.66±0.06
ionchannels_membraneproteins,balanced,5,finetuned,ESM-2,half,LR,0.87±0.04
ionchannels_membraneproteins,balanced,5,finetuned,ESM-2,half,FFNN,0.87±0.05
ionchannels_membraneproteins,balanced,9,frozen,ESM-2,full,SVM,0.81±0.07
ionchannels_membraneproteins,balanced,9,frozen,ESM-2,full,RF,0.77±0.05
ionchannels_membraneproteins,balanced,9,frozen,ESM-2,full,kNN,0.58±0.10
ionchannels_membraneproteins,balanced,9,frozen,ESM-2,full,LR,0.81±0.07
ionchannels_membraneproteins,balanced,9,frozen,ESM-2,full,FFNN,0.82±0.07
ionchannels_membraneproteins,balanced,2,frozen,ProtBERT-BFD,full,SVM,0.77±0.03
ionchannels_membraneproteins,balanced,2,frozen,ProtBERT-BFD,full,RF,0.74±0.02
ionchannels_membraneproteins,balanced,2,frozen,ProtBERT-BFD,full,kNN,0.60±0.07
ionchannels_membraneproteins,balanced,2,frozen,ProtBERT-BFD,full,LR,0.69±0.10
ionchannels_membraneproteins,balanced,2,frozen,ProtBERT-BFD,full,FFNN,0.74±0.08
iontransporters_membraneproteins,balanced,2,frozen,ESM-1b,full,SVM,0.81±0.03
iontransporters_membraneproteins,balanced,2,frozen,ESM-1b,full,RF,0.74±0.08
iontransporters_membraneproteins,balanced,2,frozen,ESM-1b,full,kNN,0.72±0.08
iontransporters_membraneproteins,balanced,2,frozen,ESM-1b,full,LR,0.81±0.05
iontransporters_membraneproteins,balanced,2,frozen,ESM-1b,full,FFNN,0.82±0.03
iontransporters_membraneproteins,balanced,4,frozen,ProtBERT-BFD,full,SVM,0.70±0.03
iontransporters_membraneproteins,balanced,4,frozen,ProtBERT-BFD,full,RF,0.62±0.09
iontransporters_membraneproteins,balanced,4,frozen,ProtBERT-BFD,full,kNN,0.60±0.04
iontransporters_membraneproteins,balanced,4,frozen,ProtBERT-BFD,full,LR,0.71±0.04
iontransporters_membraneproteins,balanced,4,frozen,ProtBERT-BFD,full,FFNN,0.69±0.07
ionchannels_membraneproteins,balanced,9,finetuned,ProtBERT-BFD,full,SVM,0.79±0.04
ionchannels_membraneproteins,balanced,9,finetuned,ProtBERT-BFD,full,RF,0.72±0.06
ionchannels_membraneproteins,balanced,9,finetuned,ProtBERT-BFD,full,kNN,0.60±0.06
ionchannels_membraneproteins,balanced,9,finetuned,ProtBERT-BFD,full,LR,0.76±0.09
ionchannels_membraneproteins,balanced,9,finetuned,ProtBERT-BFD,full,FFNN,0.76±0.06
ionchannels_membraneproteins,balanced,6,finetuned,ESM-2,half,SVM,0.83±0.04
ionchannels_membraneproteins,balanced,6,finetuned,ESM-2,half,RF,0.76±0.05
ionchannels_membraneproteins,balanced,6,finetuned,ESM-2,half,kNN,0.62±0.05
ionchannels_membraneproteins,balanced,6,finetuned,ESM-2,half,LR,0.83±0.03
ionchannels_membraneproteins,balanced,6,finetuned,ESM-2,half,FFNN,0.85±0.03
iontransporters_membraneproteins,balanced,3,finetuned,ESM-1b,half,SVM,0.82±0.04
iontransporters_membraneproteins,balanced,3,finetuned,ESM-1b,half,RF,0.74±0.07
iontransporters_membraneproteins,balanced,3,finetuned,ESM-1b,half,kNN,0.68±0.05
iontransporters_membraneproteins,balanced,3,finetuned,ESM-1b,half,LR,0.79±0.06
iontransporters_membraneproteins,balanced,3,finetuned,ESM-1b,half,FFNN,0.78±0.06
ionchannels_membraneproteins,balanced,7,frozen,ProtT5,half,SVM,0.83±0.05
ionchannels_membraneproteins,balanced,7,frozen,ProtT5,half,RF,0.78±0.07
ionchannels_membraneproteins,balanced,7,frozen,ProtT5,half,kNN,0.64±0.02
ionchannels_membraneproteins,balanced,7,frozen,ProtT5,half,LR,0.83±0.03
ionchannels_membraneproteins,balanced,7,frozen,ProtT5,half,FFNN,0.84±0.04
iontransporters_membraneproteins,balanced,3,finetuned,ESM-1b,full,SVM,0.81±0.04
iontransporters_membraneproteins,balanced,3,finetuned,ESM-1b,full,RF,0.75±0.06
iontransporters_membraneproteins,balanced,3,finetuned,ESM-1b,full,kNN,0.68±0.05
iontransporters_membraneproteins,balanced,3,finetuned,ESM-1b,full,LR,0.79±0.06
iontransporters_membraneproteins,balanced,3,finetuned,ESM-1b,full,FFNN,0.79±0.06
iontransporters_membraneproteins,balanced,7,frozen,ESM-2,full,SVM,0.82±0.05
iontransporters_membraneproteins,balanced,7,frozen,ESM-2,full,RF,0.71±0.02
iontransporters_membraneproteins,balanced,7,frozen,ESM-2,full,kNN,0.63±0.04
iontransporters_membraneproteins,balanced,7,frozen,ESM-2,full,LR,0.83±0.04
iontransporters_membraneproteins,balanced,7,frozen,ESM-2,full,FFNN,0.82±0.04
